State,Arrivals,Population('000),Area(KM2),Year,Arrivals per KM2
W.P. Kuala Lumpur,9712689,2005.7,243,2023,39969.91358
W.P. Putrajaya,508102,118.8,49,2023,10369.42857
Selangor,5985054,7209.7,8104,2023,738.530849
Pulau Pinang,4795567,1772.6,1048,2023,4575.92271
Perak,4274117,2541.2,21035,2023,203.1907297
Kedah,2761947,2189.3,9500,2023,290.7312632
Perlis,317353,293.1,821,2023,386.544458
Negeri Sembilan,2097075,1224.9,6686,2023,313.6516602
Melaka,3363245,1028.3,1664,2023,2021.180889
Johor,6055964,4107.2,19210,2023,315.2505986
Pahang,10222376,1643.2,36137,2023,282.8783795
Terengganu,2378908,1210,13035,2023,182.5015727
Kelantan,1343953,1859.8,15099,2023,89.0094046
Sabah,4489761,3596.7,73631,2023,60.97650446
W.P. Labuan,591083,99,49,2023,12062.91837
Sarawak,5402584,2502.3,124450,2023,43.41168341
W.P. Kuala Lumpur,8330471,1961.2,243,2022,34281.77366
W.P. Putrajaya,398834,117,49,2022,8139.469388
Selangor,5170158,7050.3,8104,2022,637.9760612
Pulau Pinang,4327806,1740.9,1048,2022,4129.585878
Perak,4387020,2514.4,21035,2022,208.5581174
Kedah,3214369,2163.1,9500,2022,338.3546316
Perlis,264470,289.8,821,2022,322.1315469
Negeri Sembilan,1887811,1207.9,6686,2022,282.3528268
Melaka,3275627,1008.6,1664,2022,1968.525841
Johor,5730117,4028.3,19210,2022,298.2882353
Pahang,8329953,1614.3,36137,2022,230.5103633
Terengganu,2701850,1186.6,13035,2022,207.2765631
Kelantan,1267208,1830.6,15099,2022,83.92661766
Sabah,4731974,3414.9,73631,2022,64.26605642
W.P. Labuan,354819,96.9,49,2022,7241.204082
Sarawak,5676138,2473.5,124450,2022,45.60978706
W.P. Kuala Lumpur,2269693,1964,243,2021,9340.300412
W.P. Putrajaya,131950,115.2,49,2021,2692.857143
Selangor,1672198,7014.7,8104,2021,206.3423001
Pulau Pinang,1309198,1740,1048,2021,1249.234733
Perak,1270301,2515.8,21035,2021,60.38987402
Kedah,1545860,2151.7,9500,2021,162.7221053
Perlis,99366,287.6,821,2021,121.0304507
Negeri Sembilan,638649,1204.2,6686,2021,95.52034101
Melaka,906686,1004.5,1664,2021,544.8834135
Johor,1943093,4020,19210,2021,101.1500781
Pahang,1911852,1601.5,36137,2021,52.90566455
Terengganu,1222617,1170.7,13035,2021,93.79493671
Kelantan,473601,1812.3,15099,2021,31.36638188
Sabah,1255960,3412.6,73631,2021,17.05748937
W.P. Labuan,146331,96,49,2021,2986.346939
Sarawak,3074724,2465.6,124450,2021,24.7065006
W.P. Kuala Lumpur,4514383,1982.1,243,2020,18577.70782
W.P. Putrajaya,173400,109.2,49,2020,3538.77551
Selangor,1653005,6994.4,8104,2020,203.9739635
Pulau Pinang,2336054,1740.4,1048,2020,2229.05916
Perak,1128553,2496,21035,2020,53.65120038
Kedah,2118912,2131.4,9500,2020,223.0433684
Perlis,126013,284.9,821,2020,153.4872107
Negeri Sembilan,980525,1200,6686,2020,146.653455
Melaka,1262949,998.4,1664,2020,758.983774
Johor,3472179,4009.7,19210,2020,180.7485164
Pahang,6784431,1591.3,36137,2020,187.7419542
Terengganu,1325099,1149.4,13035,2020,101.6570004
Kelantan,556340,1792.5,15099,2020,36.84614875
Sabah,1311390,3418.8,73631,2020,17.81029729
W.P. Labuan,251661,95.1,49,2020,5135.938776
Sarawak,2709100,2453.7,124450,2020,21.76858176
W.P. Kuala Lumpur,7397154,1782.5,243,2019,30440.96296
W.P. Putrajaya,306920,103.7,49,2019,6263.673469
Selangor,3548963,6506.1,8104,2019,437.9273198
Pulau Pinang,3541246,1768.8,1048,2019,3379.051527
Perak,2623351,2508.8,21035,2019,124.7136202
Kedah,2663052,2173.7,9500,2019,280.3212632
Perlis,179724,254,821,2019,218.908648
Negeri Sembilan,1928835,1126.2,6686,2019,288.488633
Melaka,3252526,928.4,1664,2019,1954.643029
Johor,5020019,3761.2,19210,2019,261.3232171
Pahang,8877064,1671.4,36137,2019,245.6502753
Terengganu,1738426,1244.5,13035,2019,133.3660146
Kelantan,1050577,1883.8,15099,2019,69.57924366
Sabah,4228391,3904.4,73631,2019,57.42677677
W.P. Labuan,430038,99.3,49,2019,8776.285714
Sarawak,4306725,2806,124450,2019,34.60606669
W.P. Kuala Lumpur,8020019,1790,243,2018,33004.19342
W.P. Putrajaya,350112,97.2,49,2018,7145.142857
Selangor,3631221,6475,8104,2018,448.077616
Pulau Pinang,3639990,1762.8,1048,2018,3473.272901
Perak,2613616,2503.5,21035,2018,124.2508201
Kedah,2661145,2163,9500,2018,280.1205263
Perlis,177376,253.5,821,2018,216.0487211
Negeri Sembilan,2005116,1122.9,6686,2018,299.8976967
Melaka,3388803,922.4,1664,2018,2036.540264
Johor,5002635,3749.4,19210,2018,260.4182717
Pahang,8956297,1664.7,36137,2018,247.8428481
Terengganu,1712595,1228.3,13035,2018,131.3843498
Kelantan,1169007,1860.5,15099,2018,77.42280946
Sabah,4278378,3898.4,73631,2018,58.10566202
W.P. Labuan,443745,99,49,2018,9056.020408
Sarawak,4398256,2791.7,124450,2018,35.34155082
