State,Arrivals,Population('000),Area(KM2),Year,ArrivalsPerKM2,
W.P. Kuala Lumpur,18414469.00,2005.7,243,2023,75779.70782,
W.P. Putrajaya,659728.00,118.8,49,2023,13463.83673,
Selangor,8772223.00,7209.7,8104,2023,1082.455948,
Pulau Pinang,7272526.00,1772.6,1048,2023,6939.433206,
Perak,5141782.00,2541.2,21035,2023,244.439363,
Kedah,4323697.00,2189.3,9500,2023,455.126,
Perlis,324083.00,293.1,821,2023,394.7417783,
Negeri Sembilan,2437448.00,1224.9,6686,2023,364.5599761,
Melaka,4901875.00,1028.3,1664,2023,2945.838341,
Johor,9587613.00,4107.2,19210,2023,499.0948985,
Pahang,13434973.00,1643.2,36137,2023,371.7788693,
Terengganu,2585235.00,1210,13035,2023,198.3302647,
Kelantan,1403226.00,1859.8,15099,2023,92.93502881,
Sabah,6710982.00,3596.7,73631,2023,91.14343144,
W.P. Labuan,668158.00,99,49,2023,13635.87755,
Sarawak,6620780.00,2502.3,124450,2023,53.20032141,
W.P. Kuala Lumpur,12611715.00,1961.2,243,2022,51900.06173,
W.P. Putrajaya,455444.00,117,49,2022,9294.77551,
Selangor,6742655.00,7050.3,8104,2022,832.0156713,
Pulau Pinang,5584434.00,1740.9,1048,2022,5328.658397,
Perak,4720326.00,2514.4,21035,2022,224.4034229,
Kedah,3803808.00,2163.1,9500,2022,400.4008421,
Perlis,269179.00,289.8,821,2022,327.8672351,
Negeri Sembilan,1976859.00,1207.9,6686,2022,295.6714029,
Melaka,3811876.00,1008.6,1664,2022,2290.790865,
Johor,7769792.00,4028.3,19210,2022,404.4660073,
Pahang,10019507.00,1614.3,36137,2022,277.2644935,
Terengganu,2788696.00,1186.6,13035,2022,213.9390871,
Kelantan,1304177.00,1830.6,15099,2022,86.37505795,
Sabah,5409077.00,3414.9,73631,2022,73.46195217,
W.P. Labuan,385844.00,96.9,49,2022,7874.367347,
Sarawak,6294389.00,2473.5,124450,2022,50.57765368,
W.P. Kuala Lumpur,2311490.00,1964,243,2021,9512.304527,
W.P. Putrajaya,133393.00,115.2,49,2021,2722.306122,
Selangor,1739027.00,7014.7,8104,2021,214.5887216,
Pulau Pinang,1320388.00,1740,1048,2021,1259.912214,
Perak,1274855.00,2515.8,21035,2021,60.60637034,
Kedah,1553750.00,2151.7,9500,2021,163.5526316,
Perlis,99454.00,287.6,821,2021,121.137637,
Negeri Sembilan,647160.00,1204.2,6686,2021,96.79329943,
Melaka,917131.00,1004.5,1664,2021,551.1604567,
Johor,1953273.00,4020,19210,2021,101.6800104,
Pahang,1919483.00,1601.5,36137,2021,53.11683316,
Terengganu,1224294.00,1170.7,13035,2021,93.92359033,
Kelantan,475391.00,1812.3,15099,2021,31.48493278,
Sabah,1259206.00,3412.6,73631,2021,17.10157407,
W.P. Labuan,148334.00,96,49,2021,3027.22449,
Sarawak,3084190.00,2465.6,124450,2021,24.78256328,
W.P. Kuala Lumpur,6098471.00,1982.1,243,2020,25096.58848,
W.P. Putrajaya,194274.00,109.2,49,2020,3964.77551,
Selangor,1975623.00,6994.4,8104,2020,243.7836871,
Pulau Pinang,2862349.00,1740.4,1048,2020,2731.249046,
Perak,1183688.00,2496,21035,2020,56.27230806,
Kedah,2494494.00,2131.4,9500,2020,262.5783158,
Perlis,127126.00,284.9,821,2020,154.8428745,
Negeri Sembilan,1046962.00,1200,6686,2020,156.5901885,
Melaka,1443371.00,998.4,1664,2020,867.4104567,
Johor,3890416.00,4009.7,19210,2020,202.520354,
Pahang,7302003.00,1591.3,36137,2020,202.0644492,
Terengganu,1344895.00,1149.4,13035,2020,103.1756809,
Kelantan,560860.00,1792.5,15099,2020,37.14550632,
Sabah,1797734.00,3418.8,73631,2020,24.41545001,
W.P. Labuan,273398.00,95.1,49,2020,5579.55102,
Sarawak,2809357.00,2453.7,124450,2020,22.5741824,
W.P. Kuala Lumpur,18328773.00,1782.5,243,2019,75427.04938,
W.P. Putrajaya,485418.00,103.7,49,2019,9906.489796,
Selangor,5415116.00,6506.1,8104,2019,668.2028628,
Pulau Pinang,6389996.00,1768.8,1048,2019,6097.324427,
Perak,2916607.00,2508.8,21035,2019,138.654956,
