Year,TouristArrival,Tranportation,Percentage,,,
2023,7394824,Air,36.7,,,
2023,11233697,Land,55.8,,,
2023,1124544,Sea,5.6,,,
2023,388781,Rail,1.9,,,
2022,2901116,Air,28.8,,,
2022,6297403,Land,62.5,,,
2022,688513,Sea,6.8,,,
2022,183932,Rail,1.8,,,
2021,69349,Air,51.5,,,
2021,63825,Land,47.4,,,
2021,1554,Sea,1.2,,,
2021,0,Rail,0,,,
2020,1648250,Air,38,,,
2020,2317639,Land,53.5,,,
2020,313161,Sea,7.2,,,
2020,53662,Rail,1.2,,,
2019,9613922,Air,36.8,,,
2019,14818009,Land,56.8,,,
2019,1289218,Sea,4.9,,,
2019,379635,Rail,1.5,,,
2018,8965410,Air,34.7,,,
2018,15359203,Land,59.5,,,
2018,1179523,Sea,4.6,,,
2018,328218,Rail,1.3,,,
2017,6606318,Air,25.5,,,
2017,17953115,Land,69.2,,,
2017,1059789,Sea,4.1,,,
2017,329237,Rail,1.3,,,
2016,6191966,Air,23.1,,,
2016,18967906,Land,70.9,,,
2016,1368551,Sea,5.1,,,
2016,228969,Rail,0.9,,,
