Country,TouristArrival,Year,,,,,,,
Australia,343438,2023,,,,,,,
Bangladesh,142748,2023,,,,,,,
Belgium,17726,2023,,,,,,,
Brunei,811833,2023,,,,,,,
Cambodia,72627,2023,,,,,,,
Canada,71981,2023,,,,,,,
China,1474114,2023,,,,,,,
Denmark,16053,2023,,,,,,,
Egypt,20783,2023,,,,,,,
France,115145,2023,,,,,,,
Germany,125987,2023,,,,,,,
India,671846,2023,,,,,,,
Indonesia,3108165,2023,,,,,,,
Iran,19908,2023,,,,,,,
Iraq,12562,2023,,,,,,,
Ireland,18127,2023,,,,,,,
Italy,48440,2023,,,,,,,
Japan,229892,2023,,,,,,,
Kazakhstan,8298,2023,,,,,,,
Laos,16781,2023,,,,,,,
Myanmar,86298,2023,,,,,,,
Nepal,18488,2023,,,,,,,
Netherlands,68448,2023,,,,,,,
New Zealand,42955,2023,,,,,,,
Norway,9981,2023,,,,,,,
Pakistan,107657,2023,,,,,,,
Philippines,339282,2023,,,,,,,
Poland,21472,2023,,,,,,,
Russia,109689,2023,,,,,,,
Saudi Arabia,51375,2023,,,,,,,
Singapore,8308230,2023,,,,,,,
South Africa,15155,2023,,,,,,,
South Korea,400853,2023,,,,,,,
Spain,40762,2023,,,,,,,
Sri Lanka,55050,2023,,,,,,,
Sweden,18006,2023,,,,,,,
Switzerland,23312,2023,,,,,,,
Taiwan,283380,2023,,,,,,,
Thailand,1551282,2023,,,,,,,
Turkey,17275,2023,,,,,,,
United States of America,229476,2023,,,,,,,
United Arab Emirates,7877,2023,,,,,,,
Ukraine,11129,2023,,,,,,,
United Kingdom,272297,2023,,,,,,,
Vietnam,344361,2023,,,,,,,
Australia,152265,2022,,,,,,,
Bangladesh,59033,2022,,,,,,,
Belgium,7543,2022,,,,,,,
Brunei,301757,2022,,,,,,,
Cambodia,39823,2022,,,,,,,
Canada,30656,2022,,,,,,,
China,212603,2022,,,,,,,
Denmark,7717,2022,,,,,,,
Egypt,11117,2022,,,,,,,
France,55087,2022,,,,,,,
Germany,57780,2022,,,,,,,
India,324548,2022,,,,,,,
Indonesia,1481739,2022,,,,,,,
Iran,7570,2022,,,,,,,
Iraq,6008,2022,,,,,,,
Ireland,8739,2022,,,,,,,
Italy,18866,2022,,,,,,,
Japan,83309,2022,,,,,,,
Kazakhstan,2836,2022,,,,,,,
Laos,7010,2022,,,,,,,
Myanmar,36765,2022,,,,,,,
Nepal,11379,2022,,,,,,,
Netherlands,31070,2022,,,,,,,
New Zealand,18238,2022,,,,,,,
Norway,4960,2022,,,,,,,
Pakistan,60535,2022,,,,,,,
Philippines,159442,2022,,,,,,,
Poland,8472,2022,,,,,,,
Russia,33003,2022,,,,,,,
Saudi Arabia,35980,2022,,,,,,,
Singapore,5222991,2022,,,,,,,
South Africa,7937,2022,,,,,,,
South Korea,146384,2022,,,,,,,
Spain,20474,2022,,,,,,,
Sri Lanka,24906,2022,,,,,,,
Sweden,8083,2022,,,,,,,
Switzerland,10486,2022,,,,,,,
Taiwan,48132,2022,,,,,,,
Thailand,715528,2022,,,,,,,
Turkey,7169,2022,,,,,,,
United States of America,108141,2022,,,,,,,
United Arab Emirates,3230,2022,,,,,,,
Ukraine,4381,2022,,,,,,,
United Kingdom,134667,2022,,,,,,,
Vietnam,173763,2022,,,,,,,
Australia,1321,2021,,,,,,,
Bangladesh,1509,2021,,,,,,,
Belgium,122,2021,,,,,,,
Brunei,773,2021,,,,,,,
Cambodia,250,2021,,,,,,,
Canada,471,2021,,,,,,,
China,7701,2021,,,,,,,
Denmark,214,2021,,,,,,,
Egypt,652,2021,,,,,,,
France,843,2021,,,,,,,
Germany,824,2021,,,,,,,
India,3916,2021,,,,,,,
Indonesia,11025,2021,,,,,,,
Iran,314,2021,,,,,,,
Iraq,452,2021,,,,,,,
Ireland,137,2021,,,,,,,
Italy,300,2021,,,,,,,
Japan,3114,2021,,,,,,,
Kazakhstan,141,2021,,,,,,,
Laos,425,2021,,,,,,,
Myanmar,377,2021,,,,,,,
Nepal,198,2021,,,,,,,
Netherlands,466,2021,,,,,,,
New Zealand,196,2021,,,,,,,
Norway,136,2021,,,,,,,
Pakistan,2043,2021,,,,,,,
Philippines,2317,2021,,,,,,,
Poland,161,2021,,,,,,,
Russia,399,2021,,,,,,,
Saudi Arabia,687,2021,,,,,,,
Singapore,16308,2021,,,,,,,
South Africa,168,2021,,,,,,,
South Korea,3028,2021,,,,,,,
Spain,147,2021,,,,,,,
Sri Lanka,385,2021,,,,,,,
Sweden,253,2021,,,,,,,
Switzerland,197,2021,,,,,,,
Taiwan,563,2021,,,,,,,
Thailand,59607,2021,,,,,,,
Turkey,286,2021,,,,,,,
United States of America,2030,2021,,,,,,,
United Arab Emirates,86,2021,,,,,,,
Ukraine,298,2021,,,,,,,
United Kingdom,2676,2021,,,,,,,
Vietnam,583,2021,,,,,,,
Australia,72680,2020,,,,,,,
Bangladesh,17634,2020,,,,,,,
Belgium,3734,2020,,,,,,,
Brunei,136020,2020,,,,,,,
Cambodia,16548,2020,,,,,,,
Canada,16631,2020,,,,,,,
China,405149,2020,,,,,,,
Denmark,6061,2020,,,,,,,
Egypt,6204,2020,,,,,,,
France,28237,2020,,,,,,,
Germany,27458,2020,,,,,,,
India,155883,2020,,,,,,,
Indonesia,711723,2020,,,,,,,
Iran,7078,2020,,,,,,,
Iraq,3628,2020,,,,,,,
Ireland,3735,2020,,,,,,,
Italy,8971,2020,,,,,,,
Japan,74383,2020,,,,,,,
Kazakhstan,6065,2020,,,,,,,
Laos,5424,2020,,,,,,,
Myanmar,9745,2020,,,,,,,
Nepal,5067,2020,,,,,,,
Netherlands,14486,2020,,,,,,,
New Zealand,8794,2020,,,,,,,
Norway,3552,2020,,,,,,,
